entrance_epoch_time,datetime,left_ring,right_ring,bird_id,Verify?,photo_path
1745322362.00363,2025-04-22 12:46:02.003633,NA,black black,10,NA,GX231868-00.02.38.283
1745324989.82526,2025-04-22 13:29:49.825261,light pink,orange,54,NA,GX281868-00.04.25.515  
1745325027.35925,2025-04-22 13:30:27.35925,NA,NA,NA,no bird at this time stamp,NA
1745325597.33056,2025-04-22 13:39:57.330563,yellow,NA,24,NA,GX291868-00.04.57.097  
1745325603.17351,2025-04-22 13:40:03.173513,NA,NA,NA,Right turquoise/blue = (2) 8 or 34?,GX291868-00.04.58.690
1745326092.71221,2025-04-22 13:48:12.712207,lime,blue,52,NA,GX301868-00.05.01.042
1745326329.40102,2025-04-22 13:52:09.40102,NA,NA,NA,1st can’t see 2nd empty empty male I think 2dn overtakes 1st in tunnel,GX311868-00.01.01.191 or GX311868-00.01.01.303
1745326359.02048,2025-04-22 13:52:39.020481,purple,brown,48,NA,GX311868-00.01.07.701
1745326365.41652,2025-04-22 13:52:45.416518,navy,navy,45,NA,GX311868-00.01.27.179
1745326383.74306,2025-04-22 13:53:03.743063,NA,NA,NA,no bird at this time stamp,NA
1745326815.53209,2025-04-22 14:00:15.532094,NA,blue,2,NA,GX311868-00.07.45.106
1745326885.3323,2025-04-22 14:01:25.332298,navy,navy,45,NA,GX321868-00.01.16.118
1745326951.2356,2025-04-22 14:02:31.235601,purple,turquoise,58,NA,GX321868-00.02.15.961
1745327029.2456,2025-04-22 14:03:49.245595,purple,NA,36,NA,GX321868-00.03.43.131
1745327039.40408,2025-04-22 14:03:59.404083,lime,blue,52,NA,GX321868-00.03.48.445
1745327765.01231,2025-04-22 14:16:05.012305,empty,empty,3,NA,GX331868-00.07.17.991
1745327792.42604,2025-04-22 14:16:32.426041,NA,NA,NA,can’t see legs ,GX331868-00.07.19.264
