entrance_epoch_time,exit_epoch_time,trial_id,exit_gate_id,datetime,bird_id,bg1,bg2,fg1,fg2,bird_name,phenotype,sex,mass_g,age_days
1744103603.7351384,1744103603.8956392,5,left,2025-04-08T09:13:23Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1744103632.7077022,1744103632.860541,6,left,2025-04-08T09:13:52Z,29,dark,dark,white,black,Spadefish,wt,male,17.1,987
1744103741.4625688,1744103741.6409028,5,left,2025-04-08T09:15:41Z,29,light,light,white,black,Spadefish,wt,male,17.1,987
1744105178.960852,1744105179.1924822,2,left,2025-04-08T09:39:38Z,NA,dark,light,white,white,NA,NA,NA,NA,NA
1744105406.8745966,1744105407.0249133,2,left,2025-04-08T09:43:26Z,1,dark,light,white,white,Cow,wt,male,18.4,2506
1744105465.9795382,1744105466.2767951,1,left,2025-04-08T09:44:25Z,33,light,dark,white,white,Moth-Man II,pied,male,19.3,685
1744105466.4741511,1744105466.6004703,2,left,2025-04-08T09:44:26Z,52,dark,light,white,white,Trumpet,cfw,male,20.9,645
1744105512.711198,1744105512.856024,2,left,2025-04-08T09:45:12Z,NA,dark,light,white,white,NA,wt,male,NA,NA
1744105569.5480096,1744105569.5515976,2,left,2025-04-08T09:46:09Z,22,dark,light,white,white,Zebra,wt,male,19.1,1023
1744105605.6470416,1744105605.9185972,1,left,2025-04-08T09:46:45Z,1,light,dark,white,white,Cow,wt,male,18.4,2506
1744105607.6839578,1744105607.8752038,1,left,2025-04-08T09:46:47Z,NA,light,dark,white,white,NA,NA,NA,NA,NA
1744105659.4571066,1744105660.5181332,1,left,2025-04-08T09:47:39Z,2,light,dark,white,white,Sheep,bc,male,20.8,2496
1744105680.2128875,1744105680.4056728,2,left,2025-04-08T09:48:00Z,45,dark,light,white,white,Beluga,cfw,male,14.7,656
1744105683.158402,1744105683.498871,1,left,2025-04-08T09:48:03Z,22,light,dark,white,white,Zebra,wt,male,19.1,1023
1744105815.9878917,1744105817.4620109,2,right,2025-04-08T09:50:15Z,53,dark,light,white,white,Porpose,wt,female,NA,639
1744105882.3923705,1744105882.5645475,2,left,2025-04-08T09:51:22Z,22,dark,light,white,white,Zebra,wt,male,19.1,1023
1744106431.8996184,1744106432.3735025,4,right,2025-04-08T10:00:31Z,NA,dark,light,black,black,NA,NA,NA,NA,NA
1744106461.2184849,1744106461.4757853,3,left,2025-04-08T10:01:01Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1744106477.1063392,1744106477.3144865,3,left,2025-04-08T10:01:17Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1744106503.8154976,1744106504.508059,4,left,2025-04-08T10:01:43Z,NA,dark,light,black,black,NA,NA,NA,NA,NA
1744106511.9986758,1744106513.4516482,3,left,2025-04-08T10:01:51Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1744106531.6868465,1744106532.3251903,3,left,2025-04-08T10:02:11Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1744106546.783508,1744106546.991525,3,left,2025-04-08T10:02:26Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1744106719.2838843,1744106719.49997,4,left,2025-04-08T10:05:19Z,38,dark,light,black,black,Mulan,wt,male,15.6,675
1744106890.353572,1744106890.584966,3,left,2025-04-08T10:08:10Z,28,light,dark,black,black,Colobus,wt,male,17,988
1744106913.25305,1744106913.9663558,3,right,2025-04-08T10:08:33Z,20,light,dark,black,black,NA,cfw,male,21.4,1027
1744107064.706667,1744107065.1289303,3,left,2025-04-08T10:11:04Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1744107138.9329994,1744107139.2643485,3,left,2025-04-08T10:12:18Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1744107880.025242,1744107880.3090448,4,left,2025-04-08T10:24:40Z,4,dark,light,black,black,Ptarmigan,cfw,female,18.1,1879
1744109041.9936376,1744109042.7534566,5,left,2025-04-08T10:44:01Z,52,light,light,white,black,Trumpet,cfw,male,20.9,645
1744109419.402068,1744109419.6298094,5,left,2025-04-08T10:50:19Z,NA,light,light,white,black,NA,NA,NA,NA,NA
1744109466.2860107,1744109466.506883,6,left,2025-04-08T10:51:06Z,NA,dark,dark,white,black,NA,NA,NA,NA,NA
1744109794.711315,1744109794.8823009,6,left,2025-04-08T10:56:34Z,10,dark,dark,white,black,Penguin,NA,male,19.8,1296
1744109978.9921885,1744109979.1512089,6,left,2025-04-08T10:59:38Z,37,dark,dark,white,black,Anthony Eden,cfw,female,16.4,676
1744110183.3841734,1744110184.626469,8,right,2025-04-08T11:03:03Z,58,dark,dark,black,white,NA,cfw,male,NA,623
1744110595.041721,1744110595.1961863,7,left,2025-04-08T11:09:55Z,36,light,light,black,white,Feathers McGraw,wt,male,17.6,676
1744111453.927483,1744111454.1205602,7,left,2025-04-08T11:24:13Z,40,light,light,black,white,Cottonmouth,wt,male,18.3,664
1744111899.086514,1744111899.4320805,7,left,2025-04-08T11:31:39Z,52,light,light,black,white,Trumpet,cfw,male,20.9,645
1744112407.3643377,1744112407.5467706,7,left,2025-04-08T11:40:07Z,NA,light,light,black,white,NA,NA,NA,NA,NA
1744112465.9350655,1744112466.5790572,7,left,2025-04-08T11:41:05Z,56,light,light,black,white,NA,wt,female,NA,638
1744112573.2437549,1744112573.4643435,8,left,2025-04-08T11:42:53Z,38,dark,dark,black,white,Mulan,wt,male,15.6,675
1744113022.142455,1744113022.926607,7,left,2025-04-08T11:50:22Z,45,light,light,black,white,Beluga,cfw,male,14.7,656
1744113190.5149302,1744113190.7131536,7,left,2025-04-08T11:53:10Z,28,light,light,black,white,Colobus,wt,male,17,988
1744113433.3237553,1744113433.5424716,7,left,2025-04-08T11:57:13Z,NA,light,light,black,white,NA,NA,NA,NA,NA
1744115239.6116962,1744115239.9132042,4,left,2025-04-08T12:27:19Z,59,dark,light,black,black,NA,pied,female,NA,617
1744115249.8042629,1744115251.040048,3,right,2025-04-08T12:27:29Z,NA,light,dark,black,black,NA,NA,NA,NA,NA
1744115350.0891511,1744115350.4177003,4,left,2025-04-08T12:29:10Z,NA,dark,light,black,black,NA,NA,NA,NA,NA
